,premise,hypothesis,labels,genre
590,Auditors are strongly encouraged to comply with the guidance provided by GAGAS.,Auditors should completely ignore any guidance offered by GAGAS.,1,government
591,would you barbecue a turkey or a chicken or,Would you cook a turkey or chicken in a barbecue?,0,telephone
595,"They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.",They had found a lot of water pouring down from the mountains.,0,travel
596,Another alternative is that our heroes were pursuing the noble goal of academics everywhere--tenure.,Our heroes are going after their academic goals. ,0,slate
598,and we decided we'd just go across the road to the office and see if we could rent anything,We went to the office to see if there was anything we could rent.,0,telephone
599,"The Fray's reputation as a home for hostile, rude, and mean-spirited exchanges suffered a severe beating at the hands of the Reading thread, which was so civilized that participants suggested taking insulin shots afterward.","The Fray is known as a hostile, rude, and mean place.",0,slate
600,oh i've never itemized yet,I've never itemized before.,0,telephone
601,Miller claimed the First Amendment (right to freedom of speech and association) rather than taking the Fifth (right against self-incrimination).,The man cited the Fourth Amendment.,1,slate
602,"Just like we have hairpins and powder-puffs."" Tommy handed over a rather shabby green notebook, and Tuppence began writing busily.",Tommy handed Tuppence a red notebook.,1,fiction
603,and it's just like college too i think that if a kid goes to college and you can help them fine but i don't think you should pay the whole way,"I believe you can help a kid with college, but not pay for the entire thing.",0,telephone
604,"If they have overestimated how far the CPI is off, Boskin and his commission may institutionalize an underestimated CPI--guaranteeing a yearly, stealth tax increase.",It is possible that they have overestimated how far the CPI is off. ,0,slate
605,and the NIT semifinals are on tonight,The NIT semifinals are held early in the morning on September 1.,1,telephone
607,The new rights are nice enough,The latest privileges are adequate  ,0,slate
608,"14 Managing for  Federal Managers' Views Show Need for Ensuring Top Leadership Skills (GAO-01-127, Oct. 20, 2000); Management  Using the Results Act and Quality Management to Improve Federal Performance (GAO/T-GGD-99-151, July 29, 1999); and Management  Elements of Successful Improvement Initiatives (GAO/T- GGD-00-26, Oct. 15, 1999).","The document  Management Using the Results Act and Quality Management to Improve Federal Performance was put in place on July 29, 1999.",0,government
610,"Pro-Microsoft analysts spin this as a heroic sacrifice, removing the lightning rod whose seemingly disingenuous testimony has ostensibly driven the DOJ to the verge of demanding the company's breakup.",Pro-Apple analysts say that was a sacrifice for the company.,1,slate
611,They do not know it themselves.'  ,They have no knowledge of it themselves.,0,fiction
612,There are other reasons that wrecks cause fan excitement--e.g.,A cause for fan excitement can be wrecks. ,1,slate
613,"Beatrice and Grace made out OK legally, but some of us will never use their products again without thinking about Travolta losing his shirt in the name of those wasted-away little kids.",Beatrice and Grace ended up in prison at the end.,1,slate
615,The  rock  has a soft texture and can be bought in a variety of shapes.,The rock is harder than most types of rock.,1,travel
616,"Sure enough, there was the chest, a fine old piece, all studded with brass nails, and full to overflowing with every imaginable type of garment. ",The chest wasn't big enough to completely contain all of the garments.,0,fiction
617,Boca da Corrida Encumeada (moderate; 5 hours): views of Curral das Freiras and the valley of Ribeiro do Poco.,Boca da Corrida Encumeada is a moderate text that takes 5 hours to complete. ,0,travel
618,yep same here,I agree.,0,telephone
619,They crossed the Forth from Dunfermline at the narrows known to this day as Queensferry.,The narrows were renamed from Queensferry to Kingsferry.,1,travel
620,"If she wasn't, how would they have known Jane Finn had got the papers?","If she wasn't, how were they sure Jane Finn was in possession of the papers?",0,fiction
621,"17 ""Surely you are not thinking of refusing? ",You should pass up the opportunity.,1,fiction
622,He bent down to study the tiny little jeweled gears.,The gears he examined were lined with jewels.,0,fiction
624,"The Saving Mystery, or Where Did the Money Go?",There is no mystery about spending.,1,government
625,as long as you got congressmen and senators that are getting kickbacks kickbacks from these different companies that are getting awarded for the defense contracts that's never going to happen,It will never happen as long as there are congressmen and senators taking kickbacks from different companies.,0,telephone
627,"At the eastern end of Back Lane and turning right, Nicholas Street becomes Patrick Street, and in St. Patrick's Close is St. Patrick's Cathedral .",Nicholas Street becomes Patrick Street after turning left at the eastern end of Back Lane.,1,travel
628,"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",Less than a million people celebrated mass during Pope John Paul II's visit in 1979.,1,travel
629,an d now we got the governor she's going to do that,"We have a female governor now, and she is going to go through with it.",0,telephone
630,GAO's Web site (www.gao.gov) contains abstracts and full-text files ofcurrent reports and testimony and an expanding archive of older products.,The GAO has received many complaints due to lack of a website. ,1,government
631,uh whether one might conceive  no pun intended of the possibility that there might be a kind of a deliberate uh um,You might think of the possibility.,0,telephone
632,"The Report and Order, in large part, adopts the unanimous recommendations of the Hearing Aid Compatibility Negotiated Rulemaking Committee, an advisory committee established by the Federal Communications Commission in 1995.",The Hearing Aid Compatibility Negotiated Rulemaking Committee is a product of the Federal Communications Commission.,0,government
633,"What you say about Lawrence is a great surprise to me, I said. ",I knew that about Lawrence all along.,1,fiction
634,cook and then the next time it would be my turn and i'd try to outdo him and then he'd try to outdo me and  we we was really a lot of fun and,I would cook and then the next turn would be his and we would try to outdo each other. ,0,telephone
635,"FEC Chairman Scott Thomas, a Democrat who was also at the conference, noted that the Federal Election Campaign Act of 1971 outlined three principles that need to be preserved on the  1) disclosure of how money is raised and spent to influence elections; 2) limits on the amount that any one person can contribute to a campaign; and 3) restrictions on independent spending by corporations and unions.",Scott Thomas was the FEC Chairman.,0,slate
636,"6See also Internal Control Management and Evaluation Tool (GAO-01-1008G, August 2001).",The tool is not for Internal Control Management.,1,government
640,i know that i didn't much uh-huh oh,I didn't much.,0,telephone
642,well the channel eight when they came here thirteen fourteen years ago Dave Fox and Tracy Rowlett came together uh from Oklahoma City and apparently channel eight was way down and now they have turned it all around and done a pretty remarkable job and then,Channel 8 came here fourteen years ago from OKC and it's doing great now.,0,telephone
643,you did you see that,Did you see that?,0,telephone
645,"Regulation and the Nature of Postal Delivery Services, Ed.",There is regulation of the postal delivery service.,0,government
646,"Look, it's your skin, but you're going to be in trouble if you don't get busy.",You should get to work soon so you don't get in trouble.,0,fiction
649," ""Give it to me."" He handed it to her.",She told him to give it to her.,0,fiction
652,Strategic human capital management must be at the center of this transformation effort.,Human capital management has to be at the center of the changing effort,0,government
653,The first installment of the Star Wars Trilogy Special Edition opened in theaters everywhere.,Star Wars can be seen in theaters. ,0,slate
654,"It takes a deeper fire than most salamanders can stir, Ser Perth.",Most salamanders can't stir a fire that deep.,0,fiction
655,"Personal Communication with P. Croteau, Babcock Borsig Power, August 2001.","In August 2001, there was personal communication between P. Croteau and Babcock Borsig Power. ",0,government
658,This popular show spawned the aquatic show at the Bellagio.,This popular show is unrelated to the origins of Bellogio's water display.,1,travel
660,"Around the corner is the huge, domed, Neo-Classical Panth??on.",The Pantheon can be found immediately around the corner.,0,travel
662,Do you want to see historic sights and tour museums and art galleries?,"You wouldn't like to visit historic places, museums, and art galleries, would you?",1,travel
665,Savonarola burned in Florence,Florence became Savonarola's new home.,1,travel
666,We need your help with another new feature that starts next week.,We are able to work with the new feature on our own.,1,slate
667,Allow time in Thirasia to explore Santorini's smaller sibling islands.,Santorini has smaller sibling islands that are worth exploring.,0,travel
668,it gets it,It doesn't get it.,1,telephone
670,"Many are based on industry-recognized models such as the Constructive Cost Model (COCOMO), PRICE, Putnam, and Jensen.",None of the models are based on the industry-recognised ones.,1,government
671,"While headquarters staffing is to be streamlined, the staffing levels at the ports are to be maintained or increased.",Staffing levels at the ports are maintained or increased as headquarters' staff is streamlined. ,0,government
672,This northern beach of magnificent tan sand is most agreeably reached by boat.,The beach is rocky and terrible.,1,travel
673,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.",The US wasn't a net creditor until after 1986.,1,government
674,"She was quite young, not more than eighteen.","The girls was at least eighteen years old, but not much older. ",0,fiction
675,"Specifically, suppose unconstrained competition were allowed but the Postal Service turned out to have sufficient market power in some product areas to allow other products to be priced at or near the level of incremental cost.",The Postal Service does not have a lot of market power.,1,government
676,Today it is the effects of pollution that are taking their toll on Agra's monuments.,Agra's monuments are being damaged by pollution.,0,travel
678,"Since the system would automatically verify all receipts and acceptances prior to invoice payment authorization, there would be no need to authorize payment prior to verification of receipt.",The new system has nothing to do with invoice payments.,1,government
679,"However, the specific approaches to executing those principles tended to differ among the various sectors.",Specific approaches to each principle is the same in each sector.,1,government
683,What seems to be a special bargain price for just  one week only  could turn out to be a year-round con.,Store owners are always honest.,1,travel
684,well that's pretty typical though uh i don't uh i don't guess it's going to be any much different uh than than it has been in the past so i expect uh July and August we'll see our  or uh share of hundred degree days,We don't ever see the temperature get into the hundreds.,1,telephone
685,"True to his word to his faithful mare, Ca'daan left Whitebelly in Fena Dim and borrowed Gray Cloud from his uncle.","Ca'daan kept his word, leaving Whitebelly and borrowing Gray Cloud from a relative. ",0,fiction
686,She would be almost certainly sent to you under an assumed one.,The man told the other man that Bill would be sent to him.,1,fiction
688,News argues that most of America's 93 million volunteers aren't doing much good.,News argues that all of America's volunteers are doing a lot of good.,1,slate
689,no not it not no it's a it's not something,It's not anything,0,telephone
691,"While AILA has joined the ACLU and other organizations in a Freedom of Information Act request to find out who is being detained where and why, Mohammed notes that the reasons for the immigrants' detention were not immediately clear and sometimes had dire consequences.",The AILA joined the ACLU in requesting the information.,0,government
692,Many Gothic and Renaissance buildings have been lovingly restored.,There are many Gothic and Renaissance buildings there.,0,travel
693,right just get you away from the everyday things that are going on we when the children were smaller we used to go to uh Delaware along the ocean ocean most every year and that was fun we stayed mostly in state parks and uh we really enjoyed that,"When we went to Delaware, we would usually see the ocean.",0,telephone
696,Some travelers add Molokai and Lanai to their itineraries.,No one decides to go to Molokai and Lanai.,1,travel
697,"In the depths of the Cold War, many Americans suspected Communists had infiltrated Washington and were about to subvert our democracy.",Communists assisted America's government during the Cold War.,1,slate
698,yeah yeah i think well i know it's true you see a lot of that you know rally behind the female she may lose but by golly we're going to make a statement here,It wouldn't count for anything if we rallied behind a female candidate.,1,telephone
699,"Each edition of the DSM is the product of arguments, negotiations, and compromises.",Many arguments and negotiations go into each edition of DSM.,0,slate
700,"For such a governmentwide review, an entrance conference is generally held with applicable central agencies, such as the Office of Management and Budget (OMB) or the Office of Personnel Management.",An entrance conference is held with specialized agencies.,1,government
703,Vatican II gave rise to a less hierarchical and more outward-looking Catholicism and set the stage for once-unthinkable innovations like plainclothes nuns and the celebration of the Mass in English and other modern languages.,Vatican II led to a greater centralization of power within the Catholic church.,1,slate
706,Load time is divided into elemental and coverage related load time.,Load time is comprised of three parts.,1,government
707,Candle grease? ,Was it candle grease?,0,fiction
708,"To the sociologists' speculations, add mine.",I don't agree with sociologists.,1,slate
709,"He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.",There was a terrible attack during a 16-day reign.,0,travel
710,"5) The Democrats are reaping what they sowed (after torturing Robert Bork, John Tower, and Clarence Thomas).",Democrats rarely have any political relevance.,1,slate
711,so you know well a lot of the stuff you hear coming from South Africa now and from West Africa that's considered world music because it's not particularly using certain types of folk styles,They consider the West African music to be worldly since they do not rely on folk styles.,0,telephone
712,"During the hottest hours, things come to a virtual standstill, though the Caribbean siesta is an hour or two shorter than its Mediterranean counterpart.",During the most popular hours was when things came to a standstill.,1,travel
713,Inside the Oval  White House Tapes From FDR to Clinton,Many tapes were taken in the white house ,0,slate
714,The experiment lasted only until Ahkenaten's death when almost all records relating to the King were destroyed.,The experiment ended with Ahkenaten's death.,0,travel
716,Lincoln glared.,The man winked.,1,fiction
717,"You claimed to be a repairman for such devices.""  Hanson bent to study it again, using a diamond lens one of the warlocks handed him.","Hanson took it and threw it aside, knowing it was useless.",1,fiction
718,that's hilarious to to get that jack off that's right oh that's a funny story,It's a hilarious story.,0,telephone
719,The Government does not sacrifice anything of value in exchange and the entity that forfeits the property does not receive anything of value.,The entity will receive appropriate compensation for forfeited property.,1,government
720,She's smiling but her eyes are closed.,Her eyes widened as she smiled.,1,fiction
721,"There is very little left of old Ocho  the scant remains of Ocho Rios Fort are probably the oldest and now lie in an industrial area, almost forgotten as the tide of progress has swept over the town.",There is nothing left of the Ocho Rios Fort.,1,travel
722,Enlarging the village was not desirable and most knew that Severn only desired wealth and a seat on the council of elders.,Severn was happy being poor.,1,fiction
723,"Ickes apparently made calls to donors from his government office, but there is no evidence so far that anyone else solicited funds in a federal building.",There is evidence that many people solicited funds from a federal building.,1,slate
724,(Read Slate 's  on how Bush flaunts the courage of his cliches.,Slate talks about how Bush is ashamed of his cliches.,1,slate
725,"3 Accordingly, auditors performing financial audits need to be proficient in applying the AICPA standards and guidance contained in the SASs.",Auditors do not need to be proficient in AICPA standards ,1,government
727,"Even the most aged and infirm travel here to die, for nothing is more blessed for a devout Hindu than to die in the great waters of the Varanasi and thus be released from the eternal cycle of rebirth.",There is nothing special to Hindus about the water of the Varanasi.,1,travel
728,"On the west side of the square is Old King's House (built in 1762), which was the official residence of the British governor; it was here that the proclamation of emancipation was issued in 1838.",On the west end of the square is the Old King's House which was built in 1762.,0,travel
732,Treat yourself and bill it to Si.,"Don't treat yourself, Si has to pay for that. ",1,slate
733,The last 12 years of his life are a blank.,He can't remember the last 12 years of his life,0,slate
734,"It is really a matter of waiting.""",It is all about waiting.,0,fiction
735,"A funny place for a piece of brown paper, I mused. ",I was thinking about strangeness of a piece of brown paper being in that spot.,0,fiction
740,'Go now.',Now go. ,0,fiction
742,yeah that's that's always nice when you have an animal that the kids can play with like that how old are the kids,It's good to have an animal the kids can play with. ,0,telephone
743,They are all quotations from the Old Testament Book of Aunt Ruth.,Every one of them is quotations from the Old Testament.,0,slate
744,"(A bigger contribution may or may not mean, I really, really support Candidate X.) Freedom of association is an even bigger stretch--one that Justice Thomas would laugh out of court if some liberal proposed it.",A bigger contribution means to support candidate Y.,1,slate
745,no no not at all it,All of them,1,telephone
747,The red moon made her skin glow.,Her skin was falling off because of the red moon.,1,fiction
748,I just stopped where I was.,I continued on my way,1,fiction
749,but there's no uh inscriptions or or dates or anything else,"The date is right there, it says May 9th.",1,telephone
750,The contrast between the landscape of the central highlands and the south coast could not be more marked.,The contrast between the highlands and the coast were easily marked.,0,travel
751,um-hum you mean when the reporter sticks the the microphone in the person says the face and says how do you feel that you house has burned to the ground,Like when the reporter doorsteps a person on their way out the door.,1,telephone
753,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker is being forced to enter the country for work.,1,government
755,cook and then the next time it would be my turn and i'd try to outdo him and then he'd try to outdo me and  we we was really a lot of fun and,"I would cook and he never would, it always turned out to be a chore. ",1,telephone
756,They would burn to the ground by morning.,"By morning, they would burn to the ground.",0,fiction
757,"Yes, it does, admitted Tuppence.",Tuppence admitted something.,0,fiction
760,oh my  uh-huh uh-huh,"Oh wow, go on. ",0,telephone
762,because i don't want to my mother was also a domineering type of personality because she had to take over the things that my dad fell short in,My mother made me take over the things that my dad fell short it.,1,telephone
767,"Whether you drink beer or alcohol or not, a trip to Dublin isn't complete without a visit to some of its pubs don't miss this experience.",Dublin's pubs are worth seeing even if you aren't a drinker.,0,travel
770,"'  Blankley replies, And there are fund-raisers going out in other parts of the country to raise  'The conservatives are coming, the conservatives are coming.","Blankley replies, there are no fundraisers in other parts of the country to raise ""the conservatives are coming"".",1,slate
771,"Tax records show Waters earned around $65,000 in 2000.",Waters' tax records show he earned a blue ribbon last year.,1,government
774,'I don't suppose you could forget I ever said that?',I hope that you can remember that forever. ,1,fiction
775,This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996.,The Enhanced Carrier Route was canceled in 1995.,1,government
776,"A politician connected with the home service of his parliamentary section's boss, with the mobile phone number 0-609-3459812, and known for his lack of sense of humor, did not take too well to a message from 'Admirer' - 'Wishes shovel best'.","Upon calling his boss's home service, the politician didn't take too kindly to a message from an 'admirer'.",0,fiction
780,The doctor accepted quite readily the theory that Mrs. Vandemeyer had accidentally taken an overdose of chloral.,The doctor believed that the theory was correct.,0,fiction
782,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There is a palace which can be toured in Honolulu.,0,travel
784,"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees.",This is an actual verified number of closed cases.,0,government
785,much with whatever it's with the Black the Black problem or whatever that may be now,There is no Black problem at all.,1,telephone
786,TEST ORGANISMS,Trial Living Things,0,government
787,and i'm pretty happy with it so far,I am content so far.,0,telephone
789,"Look here, you've no business to come asking for me in this way.",You have every right to be asking for me this way.,1,fiction
790,um-hum what is your worst then,What is your best? ,1,telephone
791,Two is enough for a secret.,A secret needs two people. ,0,fiction
792,Excellent reviews for the collaboration between two of the '90s' most acclaimed jazz saxophonists.,Critics compared the music to deranged caterwauling cats.,1,slate
793,do you really romance,Are you just friends?,1,telephone
796,"From that spot she could see all of them and, should she need to, she could see through them as well.",She could see through them all.,0,fiction
798,"For himself he chose Atat??rk, or Father of the Turks.",For himself he chose Piety.,1,travel
800,"On the second point, Judge Newton said in a recent interview, I've heard this complaint a hundred times.",Judge Newton had heard the second point numerous times.,0,government
802,Acquaintances of mine have become Orthodox because of the codes.,The codes have caused some of my friends to become Orthodox.,0,slate
804,"Good  Oklahoma now has a Public Guardianship Program, albeit unfunded, that will supply lawyers to perform this rights-monitoring process",Good Oklahoma has a program to fund lawyers.,0,government
805,Acquaintances of mine have become Orthodox because of the codes.,My acquaintances shied away from becoming Orthodox because of the codes.,1,slate
807,yeah those yeah it was all bloodless and the good guys can get hit all day long and they have to shake it off they don't they don't you know get  epileptic fits or anything from getting hit on the head,That was the goriest most true to life thing I've ever seen and I think that's gonna psychologically affect me for a long time.,1,telephone
808,"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Sinai was a source of gold for the Ancient Egyptians.  ,1,travel
809,"I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh.",My legs will never heal.,1,fiction
811,"Look for these items in the picturesque open-air market of Sa Penya (Ibiza Town) or for a wider selection at the bustling, covered central market in the newer part of town (carrer d'Extremadura).",You can't find anything at the open-air market.,1,travel
812,"The library is the largest of any plantation in Jamaica, with over 300 volumes, including three first editions; the books would have been used to while away the long humid days.","The library is the smallest estate in Jamaica, with only three books. ",1,travel
814,Jon walked back to the town to the smithy.,Jon continued on into the mountains.,1,fiction
818,A martini should be gin and vermouth and a twist.,A martini must be composed by gin and vermouth.,0,slate
820,"Such multicolored reef dwellers as the parrotfish and French angelfish, along with weirdly shaped coral, crawfish, or turtles hiding in crevices, can be yours for the viewing in these clear waters where visibility of 30 m (100 ft) is common.","Since the reef has been bleached and rendered lifeless by global warming, it's no longer possible to see sea life in the cloudy water.",1,travel
821,other side that's a good idea,There is more than one side.,0,telephone
822,all right thanks bye bye,hello stop upsetting me,1,telephone
824,"The only drawback is, of course, the large crowds in summer.",Summer brings with it swarms of people.,0,travel
826,The aggregate effect on the amount of federal government saving is what affects the level of national saving and economic growth.,Federal government saving affects economic growth.,0,government
827,"But, when I discovered that it was known all over the village that it was John who was attracted by the farmer's pretty wife, his silence bore quite a different interpretation. ",John was attracted to the farmer's pretty wife.,0,fiction
828,i never managed to plan my departure right,My departure wasn't properly planned.,0,telephone
829,Then he shrugged.,He shrugged.,0,fiction
830,Corroborating evidence is independent evidence that supports information in the database.,Independent evidence that supports information in the database is called corroborating evidence.,0,government
831,"Mr. Clinton rewards Mr. Knight for his fund raising, Mr. Gore lays the groundwork for his anticipated presidential bid four years from now, and the companies, by hiring Mr. Knight, get the administration's ear.",Mr. Clinton appreciated Mr. Knight for his fund raising.,0,slate
834,Piccadilly Tube station.,Piccadilly Circus station. ,1,fiction
835,Many who fled have returned.,They all ran and never looked back.,1,travel
837,Tommy had a healthy and vigorous appetite.,Tommy's appetite was huge.,0,fiction
838,but uh TV is something that we try to not um deliberately try not to get hung up on it like you say,We are very obsessed with watching TV programs.,1,telephone
840,The most popular form of shadow theater is known as Wayang Siam.,Wayang Siam is the most popular form of shadow theater. ,0,travel
842,They should have him be just a disembodied voice.,"The entity should not be seen, only heard.",0,slate
844,it may be arrogant but i mean let them come to us,It is definitely not arrogant to have them coming to us,1,telephone
847,"They wanted you, so they got you.""  Dave considered it.","They never wanted you, but they ended up getting you anyways.",1,fiction
851,"In the 19th century, when Kashmir was the most exotic hill-station of them all, the maharaja forbade the British to buy land there, so they then hit on the brilliant alternative of building luxuriously appointed houseboats moored on the lakes near Srinagar.",The maharaja allowed the British to build houseboats on the lakes.,0,travel
852,he's not a starter,He is the one they always have starting.,1,telephone
853,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",The OIM is hoping to revise the Grant Renewal Application to reduce the LSC's ability to request information.,1,government
855,"That couldn't happen in a sane world, either.",That could definitely happen in a sane world.,1,fiction
857,It was worth the trip for that.,It wasn't worth anything.,1,fiction
858,well do you know you have a ten limit a ten minute time limit well that's okay and then they come on and tell you and they tell you got five seconds to say good-bye,"Usually there's a 10 minute time limit, but they'll say you have a few seconds to go!",0,telephone
859,"However, co-requesters cannot approve additional co-requesters or restrict the timing of the release of the product after it is issued.",Co-requesters cannot approve more co-requesters.,0,government
861,"You and your friends are not welcome here, said Severn.",Severn said the people were always welcome there.,1,fiction
862,"It was the heyday of the brilliant but lethal Spanish-Italian  lecherous Rodrigo, who became Pope Alexander VI, and treacherous son Cesare, who stopped at nothing to control and expand the papal lands.",Rodrigo never became pope and was childless.,1,travel
863,"There is very little to see here, or at the ruined Essene monastery of Qumran itself.",There are plenty of interesting sights and experiences here.,1,travel
864,those little kids don't understand it,The little kid understand it perfectly. ,1,telephone
866,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",0,slate
867,The main attraction of Kom Ombo is the vibrant color still found on the columns in the Hypostyle Hall.,"With it's drab and plain columns, the Hypostyle hall at Kom Ombo is basically ignored by visitors.",1,travel
868,"The Passaic office is refusing to join in that reconfiguration, which goes into effect Jan.",It will be reconfigured in January. ,0,government
871,"Good-bye."" Julius was bending over the car.",Julius said good bye at the car.,0,fiction
872,"From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.",Agency officials need to identify the components that helped them.,0,government
873,The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.,There are no festivals held in the month of April in Tokyo.  ,1,travel
874,Very few emperors were reluctant to submit to Fujiwara domination.,Every emperor thought to be reluctant towards Fujiwara.,1,travel
875,"The only comprehensible explanation is that the vocation that had burrowed in next to medicine had taken control, had insisted.",The only explanation is that nothing has taken control of medicine. ,1,slate
876,"Just north of the Shalom Tower is the Yemenite Quarter, its main attractions being the bustling Carmel market and good Oriental restaurants.",The Shalom Tower is north of the Yemenite Quarter.,1,travel
877,guess it didn't last too long at the box office but i thought it was pretty good,"Wow, it lasted in the box office for so long, I'm surprised.",1,telephone
878,"Occasionally, he'd wince and apologise for any incoherence.","He winced and apologized for any confusing speech, sometimes.",0,fiction
880,"You see, he said sadly, ""you have no instincts.""",He said that I had no instincts. ,0,fiction
882,"Also, disappointing earnings reports from Intel and other blue-chip companies in the two weeks leading up to the crash caused investors to question the value of entire portfolios.",Intel has never had a disappointing earning report.,1,slate
884,Chapter 1 provides general background information on emission control technologies.,Chapter 1 shows general info ,0,government
885,You have to walk through it).,You need to pass through it on foot.,0,slate
887,Who are these sons of eggs?,Who are these people?,1,fiction
888,I was deeply impressed by the power and eloquence of the counsel for the defence.,The counsel for his defence did not impress me in any way.,1,fiction
889,"All of a sudden I sat down on the edge of the table, and put my face in my hands, sobbing out a 'Mon Dieu! ",I sat down on the table and started laughing out loudly.,1,fiction
891,i mean that's a real attractive option if you have the the technology for it all it was was you know i mean she just used a phone modem and she was like she was sitting in the office,She just used a phone modem and it was like she was sitting in the office. ,0,telephone
892,how do you like it well,"You probably hate it, don't you?",1,telephone
893,"'Don't worry,' he whispered.",He was freaked out.,1,fiction
895,The standard technology assumptions of scenario A were used by EIA in the development of the AEO2001 reference case projections.,EIA used the standard technology assumptions to eliminate the AEO2001 reference case projections.,1,government
896,A 1994 Roper Poll concluded that the NewsHour is perceived by the public as the most credible newscast in the country.,A 1984 Poll concluded NewsHour is seen as the most credible newscast by the public and that it is the most popular.,1,slate
897,"I see, said Tuppence thoughtfully.","Tuppence, showing careful consideration, said ""I understand"".",0,fiction
902,"Moreover, it is possible to have questions that require nested case studies.","Also, questions can require nested case studies, so wrap your heand around it.",0,government
903,"Evaluating the intent of the six principles, we observed that they naturally fell into three distinct sets, which we refer to as critical success factors.",The six principles fell into two distinct sets.,1,government
905,"The public health official's version of the line, Take my wife, please, is Tell Americans to eat kale five times a week.",Public health authorities believe that people should eat kale many times a week.,0,slate
906,Participants generally viewed the new internal control reporting requirements of the Sarbanes-Oxley Act of 2002 as a good requirement.,"The Sarbanes-Oxley Act of 2002 focused mainly on SEC filings, and ignored internal controls and reporting completely.",1,government
908,At the fulcrum is a coffee bar and cafe under a giant screen television flanked by CD listening stations.,There are no audio facilities near the coffee bar and cafe.,1,travel
909,and not only is it you know trouble to have to drive but it takes time away from your home and your family when you're out driving,Driving is a fast experience with no downfalls.,1,telephone
910,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,0,travel
911,British action wouldn't have mattered.,It wouldn't have mattered if Britain got involved.,0,slate
912,Another quarter billion plus dollars of the total amount sought was earmarked to pay down operating debt accrued in past years.,Another quarter billion dollars or more was earmarked to pay down debt.,0,government
915,"Carmel Man, a relation of the Neanderthal family, lived here 600,000 years ago.",Carmel Man isn't alive today.,0,travel
919,It was deserved.,it was earnt,0,fiction
920,Text Box 2.1: Gross Domestic Product and Gross National Product 48Text Box 4.1: How do the NIPA and federal unified budget concepts of,Text about GBP and USD.,1,government
921,"In a new retrospective, the Vienna modernist (1890-1918) wins critics' grudging respect.",Critics are reluctant but ultimately they are forced to respect the Vienna Modernist. ,0,slate
922,"Yet, in the mouths of the white townsfolk of Salisbury, N.C., it sounds convincing.","White townsfolk in Salisbury, N.C. think it sounds convincing.",0,slate
923,"In this moment of American triumphalism, it's hard to resist the temptation to rewrite recent history as the narrative of America's self-reliant, inevitable rise, and to see the future as the story of America's continued ascent into the higher reaches of the New Economy.",This is a moment of American triumphalism.,0,slate
924,These runs could cost far more than the value of the small improvement in service.,The runs would be a bigger cost than the improvement in service would bring.,0,government
925,"The Times says this tracking list is drawn up from information from bookstores, but publishers say they routinely call up the Times to tip them off to books selling with increasing momentum so that they can be added to the tracking list.","Publishers say one things about Times' drawing of lists from bookstores, while Times claims a different story.",0,slate
928,"The islands' names refer to the different force winds hitting them, not their topography.",The way the islands are called is based on the force of the wins they experience.,0,travel
929,How do you propose to get in touch with your would-be employers?,How will you contact your potential employers?,0,fiction
930,He and his associates weren't operating at the level of metaphor.,His associates' boss was operating at the level of the metaphor. ,1,slate
932,Scutari is traditionally associated with the name of Florence Nightingale.,Scutari is generally linked with Florence Nightingale.,0,travel
935,"The 37 hectares (91 acres) of garden are set on lands above the Wag Wag River, which twists through a steep and narrow valley.","37 hectares is equivalent to just over 90 acres, and is the size of the gardens above the Wag Wag River.",0,travel
938,"The tip was hooked towards the edge, the same way the tips are hammered for knives used for slaughter.",They were fragile and could not leave a scratch. ,1,fiction
939,"Since the rules were issued as interim rules and not as general notices of proposed rulemaking, they are not subject to the Unfunded Mandates Reform Act of 1995.",The rules were issued as interim rules and not general notices of proposed rulemaking.,0,government
940,Some bugs are hell to track down.,It is difficult to catch some bugs.,0,slate
941,"Just as in ancient times, without the River Nile, Egypt could not exist.","Without the Nile river, Egypt could not exist.",0,travel
942,huh-uh i don't even want to go anywhere yeah that's about it,There is nowhere I want to go.,0,telephone
